,0
1205,1
1206,1
1207,9
1208,5
1209,10
1210,1
1211,5
1212,1
1213,7
1214,1
1215,1
1216,1
1217,1
1218,9
1219,1
1220,1
1221,2
1222,1
1223,1
1224,11
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,9
1234,11
1235,1
1236,10
1237,5
1238,1
1239,5
1240,1
1241,1
1242,1
1243,1
1244,0
1245,5
1246,1
1247,5
1248,9
1249,1
1250,1
1251,4
1252,9
1253,1
1254,1
1255,1
1256,1
1257,1
1258,1
1259,1
1260,1
1261,11
1262,2
1263,1
1264,5
1265,1
1266,9
1267,1
1268,10
1269,1
1270,1
1271,1
1272,1
1273,1
1274,3
1275,5
1276,2
1277,1
1278,1
1279,0
1280,1
1281,1
1282,11
1283,5
1284,11
1285,9
1286,1
1287,1
1288,1
1289,1
1290,1
1291,5
1292,1
1293,1
1294,1
1295,5
1296,9
1297,1
1298,5
1299,1
1300,9
1301,5
1302,1
1303,11
1304,1
1305,1
1306,3
1307,9
1308,1
1309,9
1310,1
1311,9
1312,1
1313,1
1314,1
1315,1
1316,0
1317,5
1318,1
1319,1
1320,1
1321,6
1322,5
1323,11
1324,1
1325,9
1326,1
1327,9
1328,9
1329,11
1330,5
1331,1
1332,1
1333,5
1334,9
1335,1
1336,4
1337,10
1338,1
1339,1
1340,1
1341,9
1342,1
1343,1
1344,1
1345,2
1346,11
1347,1
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,11
1358,1
1359,1
1360,1
1361,11
1362,1
1363,1
1364,2
1365,1
1366,11
1367,1
1368,11
1369,1
1370,10
1371,2
1372,1
1373,1
1374,5
1375,1
1376,1
1377,11
1378,11
1379,5
1380,5
1381,11
1382,11
1383,1
1384,11
1385,1
1386,9
1387,9
1388,4
1389,6
1390,2
1391,1
1392,5
1393,1
1394,1
1395,9
1396,10
1397,1
1398,2
1399,5
1400,1
1401,1
1402,1
1403,1
1404,9
1405,11
1406,0
1407,1
1408,5
1409,2
1410,1
1411,5
1412,1
1413,1
1414,1
1415,11
1416,4
1417,5
1418,1
1419,1
1420,11
1421,1
1422,1
1423,1
1424,9
1425,5
1426,1
1427,0
1428,1
1429,1
1430,2
1431,1
1432,1
1433,0
1434,5
1435,2
1436,1
1437,1
1438,9
1439,10
1440,1
1441,5
1442,9
1443,1
1444,1
1445,1
1446,1
1447,1
1448,9
1449,10
1450,1
1451,5
1452,5
1453,1
1454,1
1455,1
1456,1
1457,5
1458,5
1459,9
1460,1
1461,1
1462,5
1463,1
1464,3
1465,1
1466,10
1467,9
1468,1
1469,1
1470,5
1471,2
1472,1
1473,1
1474,2
1475,9
1476,5
1477,1
1478,0
1479,1
1480,1
1481,9
1482,5
1483,1
1484,1
1485,1
1486,1
1487,2
1488,5
1489,10
1490,9
1491,1
1492,9
1493,1
1494,1
1495,1
1496,1
1497,1
1498,1
1499,1
1500,1
1501,4
1502,9
1503,2
1504,1
1505,2
1506,1
1507,1
1508,1
1509,1
1510,1
1511,9
1512,1
1513,10
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,2
1521,10
1522,5
1523,10
1524,1
1525,1
1526,1
1527,9
1528,5
1529,5
1530,5
1531,1
1532,2
1533,11
1534,9
1535,5
1536,10
1537,1
1538,10
1539,5
1540,11
1541,10
1542,1
1543,1
1544,5
1545,1
1546,1
1547,2
1548,0
1549,1
1550,1
1551,1
1552,1
1553,5
1554,1
1555,1
1556,1
1557,2
1558,1
1559,1
1560,1
1561,0
1562,5
1563,2
1564,0
1565,1
1566,1
1567,1
1568,5
1569,2
1570,9
1571,1
1572,9
1573,5
1574,1
1575,11
1576,1
1577,10
1578,1
1579,0
1580,10
1581,9
1582,2
1583,1
1584,4
1585,1
1586,9
1587,1
1588,2
1589,1
1590,11
1591,4
1592,1
1593,6
1594,8
1595,1
1596,1
1597,11
1598,1
1599,1
1600,1
1601,5
1602,1
1603,9
1604,1
1605,9
1606,11
1607,1
1608,1
1609,5
1610,1
1611,9
1612,1
1613,2
1614,1
1615,1
1616,1
1617,1
1618,5
1619,1
1620,4
1621,1
1622,1
1623,5
1624,2
1625,5
1626,9
1627,1
1628,9
1629,1
1630,1
1631,1
1632,1
1633,9
1634,2
1635,1
1636,1
1637,1
1638,1
1639,1
1640,1
1641,5
1642,11
1643,10
1644,1
1645,1
1646,2
1647,1
1648,1
1649,1
1650,1
1651,9
1652,9
1653,1
1654,1
1655,1
1656,1
1657,1
1658,1
1659,5
1660,5
1661,5
1662,1
1663,1
1664,1
1665,1
1666,5
1667,1
1668,9
1669,11
1670,5
1671,1
1672,11
1673,9
1674,5
1675,5
1676,1
1677,4
1678,6
1679,1
1680,1
1681,0
1682,1
1683,11
1684,1
1685,2
1686,9
1687,1
1688,1
1689,9
1690,5
1691,9
1692,1
1693,1
1694,11
1695,5
1696,1
1697,1
1698,0
1699,9
1700,1
1701,6
1702,1
1703,1
1704,9
1705,11
1706,5
1707,1
1708,1
1709,1
1710,11
1711,1
1712,1
1713,0
1714,5
1715,1
1716,1
1717,11
1718,11
1719,1
1720,10
1721,1
1722,1
1723,11
1724,1
1725,1
1726,1
1727,1
1728,5
1729,9
1730,1
1731,2
1732,4
1733,5
1734,1
1735,1
1736,1
1737,4
1738,10
1739,1
1740,1
1741,5
1742,9
1743,1
1744,1
1745,1
1746,1
1747,1
1748,2
1749,1
1750,1
1751,1
1752,1
1753,5
1754,4
1755,4
1756,1
1757,1
1758,2
1759,9
1760,1
1761,5
1762,9
1763,5
1764,0
1765,9
1766,1
1767,1
1768,1
1769,1
1770,5
1771,1
1772,2
1773,5
1774,1
1775,9
1776,1
1777,1
1778,1
1779,1
1780,5
1781,5
1782,1
1783,0
1784,1
1785,1
1786,1
1787,1
1788,1
1789,1
1790,1
1791,1
1792,1
1793,7
1794,1
1795,5
1796,1
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,10
1804,5
1805,9
1806,11
1807,1
1808,1
1809,11
1810,1
1811,9
1812,9
1813,5
1814,1
1815,2
1816,5
1817,11
1818,1
1819,1
1820,9
1821,1
1822,5
1823,9
1824,1
1825,1
1826,1
1827,5
1828,5
1829,1
1830,5
1831,9
1832,1
1833,9
1834,0
1835,1
1836,1
1837,5
1838,9
1839,1
1840,3
1841,1
1842,1
1843,4
1844,0
1845,4
1846,1
1847,9
1848,1
1849,3
1850,1
1851,1
1852,2
1853,2
1854,9
1855,5
1856,5
1857,9
1858,5
1859,1
1860,1
1861,1
1862,5
1863,1
1864,1
1865,1
1866,1
1867,1
1868,1
1869,9
1870,1
1871,1
1872,1
1873,5
1874,1
1875,10
1876,11
1877,5
1878,1
1879,5
1880,1
1881,1
1882,1
1883,9
1884,9
1885,1
1886,5
1887,1
1888,1
1889,3
1890,9
1891,1
1892,1
1893,1
1894,1
1895,1
1896,11
1897,5
1898,2
1899,1
1900,1
1901,1
1902,1
1903,1
1904,1
1905,1
1906,2
1907,0
1908,1
1909,1
1910,1
1911,1
1912,1
1913,5
1914,5
1915,1
1916,5
1917,1
1918,11
1919,1
1920,9
1921,1
1922,5
1923,1
1924,1
1925,1
1926,2
1927,5
1928,9
1929,1
1930,5
1931,5
1932,0
1933,11
1934,1
1935,1
1936,1
1937,1
1938,1
1939,5
1940,1
1941,1
1942,1
1943,5
1944,3
1945,9
1946,1
1947,2
1948,1
1949,1
1950,9
1951,5
1952,9
1953,1
1954,1
1955,9
1956,9
1957,1
1958,1
1959,1
1960,2
1961,9
1962,1
1963,2
1964,1
1965,1
1966,1
1967,1
1968,2
1969,1
1970,9
1971,1
1972,2
1973,1
1974,1
1975,1
1976,11
1977,1
1978,9
1979,2
1980,5
1981,1
1982,1
1983,5
1984,0
1985,1
1986,11
1987,2
1988,10
1989,1
1990,1
1991,5
1992,1
1993,1
1994,10
1995,1
1996,1
1997,9
1998,9
1999,11
2000,1
2001,5
2002,1
2003,1
2004,1
2005,8
2006,1
2007,1
2008,1
2009,11
2010,1
2011,1
2012,1
2013,9
2014,1
2015,5
2016,5
2017,5
2018,5
2019,10
2020,1
2021,10
2022,1
2023,9
2024,9
2025,1
2026,4
2027,11
2028,1
2029,5
2030,5
2031,4
2032,9
2033,1
2034,1
2035,9
2036,1
2037,1
2038,1
2039,1
2040,4
2041,4
2042,1
2043,1
2044,1
2045,5
2046,1
2047,1
2048,5
2049,1
2050,6
2051,9
2052,1
2053,3
2054,9
2055,1
2056,1
2057,5
2058,1
2059,2
2060,1
2061,1
2062,9
2063,1
2064,2
2065,2
2066,9
2067,11
2068,1
2069,6
2070,1
2071,1
2072,1
2073,5
2074,2
2075,1
2076,2
2077,1
2078,4
2079,1
2080,1
2081,5
2082,9
2083,11
2084,11
2085,0
2086,0
2087,2
2088,9
2089,1
2090,1
2091,11
2092,2
2093,11
2094,1
2095,1
2096,1
2097,6
2098,5
2099,1
2100,1
2101,1
2102,1
2103,9
2104,2
2105,0
2106,9
2107,1
2108,3
2109,11
2110,9
2111,5
2112,1
2113,1
2114,1
2115,1
2116,3
2117,5
2118,1
2119,5
2120,1
2121,1
2122,1
2123,1
2124,5
2125,1
2126,1
2127,1
2128,4
2129,3
2130,1
2131,1
2132,1
2133,11
2134,5
2135,2
2136,9
2137,1
2138,0
2139,5
2140,1
2141,1
2142,0
2143,1
2144,2
2145,9
2146,5
2147,11
2148,3
2149,5
2150,1
2151,1
2152,1
2153,1
2154,9
2155,2
2156,1
2157,2
2158,4
2159,1
2160,5
2161,1
2162,1
2163,11
2164,5
2165,10
2166,1
2167,1
2168,9
2169,1
2170,5
2171,1
2172,11
2173,1
2174,10
2175,3
2176,5
2177,3
2178,5
2179,1
2180,1
2181,1
2182,5
2183,1
2184,1
2185,5
2186,9
2187,2
2188,1
2189,1
2190,11
2191,11
2192,5
2193,1
2194,5
2195,1
2196,1
2197,2
2198,1
2199,9
2200,5
2201,9
2202,1
2203,1
2204,1
2205,11
2206,1
2207,1
2208,9
2209,11
2210,1
2211,1
2212,1
2213,9
2214,1
2215,11
2216,11
2217,1
2218,1
2219,1
2220,1
2221,1
2222,5
2223,1
2224,4
2225,5
2226,9
2227,11
2228,9
2229,1
2230,11
2231,1
2232,1
2233,2
2234,1
2235,1
2236,1
2237,1
2238,9
2239,5
2240,9
2241,1
2242,9
2243,2
2244,4
2245,5
2246,10
2247,9
2248,2
2249,9
2250,2
2251,1
2252,5
2253,1
2254,0
2255,4
2256,9
2257,1
2258,1
2259,1
2260,3
2261,9
2262,1
2263,1
2264,2
2265,1
2266,1
2267,6
2268,1
2269,1
2270,1
2271,5
2272,11
2273,1
2274,0
2275,9
2276,5
2277,1
2278,9
2279,1
2280,5
2281,1
2282,1
2283,1
2284,5
2285,5
2286,1
2287,11
2288,1
2289,5
2290,1
2291,1
2292,9
2293,11
2294,1
2295,9
2296,1
2297,4
2298,1
2299,3
2300,1
2301,1
2302,1
2303,9
2304,0
2305,5
2306,1
2307,10
2308,7
2309,1
2310,1
2311,2
2312,9
2313,6
2314,5
2315,4
2316,1
2317,9
2318,1
2319,1
2320,5
2321,5
2322,1
2323,5
2324,11
2325,11
2326,0
2327,9
2328,1
2329,2
2330,1
2331,1
2332,1
