,0
514,STMP1
515,ldhba
516,kmt5ab
517,snrnp27
518,nrgna
519,zgc:110425
520,mtif3
521,si:ch211-198b3.4
522,BX537342.1
523,si:dkey-48j7.3
524,arf6b
525,rpa1
526,stpg2
527,plekhg4
528,pafah1b1a
529,cep41
530,CT027638.1
531,atp5mc3b
532,gltpb
533,ubb
534,gapdhs
535,lca5
536,hpf1
537,eef1b2
538,mphosph8
539,dtd2
540,si:ch1073-416d2.4
541,si:ch1073-325m22.2
542,nme8
543,BX284635.1
544,efcab1
545,lin52
546,ak7a
547,ankef1b
548,si:dkey-223p19.2
549,foxm1
550,zmat2
551,lmnl3
552,h2afy2
553,si:zfos-1056e6.1
554,reep3b
555,stk31
556,tsga10
557,rad1
558,si:ch211-275j6.5
559,atp5mea
560,faima
561,si:dkey-42p14.3
562,prickle2b
563,nfe2l3
564,prelid1b
565,atf7ip
566,tent5c
567,csnk1da
568,cox4i1
569,spag8
570,tex9
571,si:ch211-1o7.2
572,ccdc114
573,erich3
574,ak2
575,si:ch211-22i13.2
576,csnk2b
577,znf598
578,cox6c
579,cdc42
580,nptx2a
581,lamp1b
582,rrm2
583,ttll3
584,BX640520.3
585,fbxo44
586,wdr95
587,cdkl1
588,arl4aa
589,kif11
590,ccl35.1
591,CCDC39
592,si:ch73-100l22.3
593,edf1
594,psmb4
595,bcl2l1
596,si:ch211-286b5.5
597,ccdc115
598,desi1b
599,ubxn10
600,dnah5l
601,dpy30
602,tsnaxip1
603,pnrc1
604,arl6
605,micos10
606,dcst2
607,ufd1l
608,drc3
609,rsph14
610,rrm2
611,uqcr10
612,dnai2a
613,cfap298
614,sarnp
615,g2e3
616,hsbp1b
617,cirbpb
618,maats1
619,hnrnpa0b
620,map9
621,hmgb2a
622,prkar1ab
623,pfn2
624,srsf5a
625,usp4
626,hspb1
627,oaz1b
628,cdc42l2
629,ywhae1
630,prdx2
631,BX537120.1
632,si:dkeyp-27c8.2
633,tubb2b
634,myl12.2
635,mier1b
636,mt-nd4
637,spata17
638,rabif
639,lrrc34
640,si:ch73-190f9.4
641,isca1
642,dnal4a
643,spc24
644,mmgt1
645,si:ch73-352p4.5
646,pld6
647,zmynd12
648,prodhb
649,zgc:153215
650,ndufa11
651,pcp4l1
652,ube3d
653,ikzf5
654,fam92a1
655,trmt61a
656,si:ch211-232m8.3
657,med31
658,zgc:114130
659,ppiab
660,ift52
661,prkar1b
662,mrps36
663,fis1
664,ppp1r42
665,cluap1
666,atp6v1g1
667,eno4
668,eif4e1c
669,ccdc175
670,oxa1l
671,si:dkey-276j7.1
672,si:dkey-20d21.12
673,TMEM208
674,si:ch211-51e12.7
675,ndufa2
676,tmem199
677,si:rp71-45k5.4
678,slc25a3b
679,ela2l
680,wee1
681,terb1
682,erp44
683,si:dkey-57n24.6
684,seta
685,cab39l
686,sccpdha
687,ispd
688,lyz
689,cfap99
690,fam221a
691,cdc25b
692,cdk2
693,trappc1
694,oser1
695,sf3b6
696,chrac1
697,fibpa
698,fkbp3
699,atp5md
700,slc25a33
701,brdt
702,lrrc23
703,FP101887.1
704,dzip1l
705,ifrd1
706,ankrd39
707,tma7
708,inip
709,u2af2b
710,arpc3
711,si:dkey-34d22.3
712,rbm22
713,dcst1
714,knop1
715,wrb
716,tssk6
717,iqck
718,cngk
719,fam102ba
720,spa17
721,nap1l1
722,pcyt1ba
723,RNF224
724,tex36
725,st13
726,srsf4
727,hnrnpabb
728,pih1d2
729,larp4b
730,ttll6
731,cep89
732,arih1
733,si:dkey-4p15.3
734,si:dkey-219e20.2
735,ift80
736,cep55l
737,ube2j2
738,CABZ01083945.1
739,gtf2f1
740,cul3a
741,psmb1
742,cnot2
743,rab13
744,prep
745,hsd3b7
746,hbaa1
747,vcp
748,c2cd2l
749,ndufa6
750,ephx1
751,txlna
752,trmt10a
753,nme7
754,rpl4
755,si:ch211-163l21.10
756,dnaaf1
757,ankrd45
758,clgn
759,dad1
760,ndufb8
761,atp5mc3a
762,eif2s2
763,gnb1a
764,si:ch211-195h23.4
765,hbba1
766,ip6k2a
767,hsbp1l1
768,rnf10
769,rsph3
770,cab39l1
771,ndel1a
772,eef1g
773,clic4
774,grinaa
775,syf2
776,slc30a1b
777,dmc1
778,cbln13
779,zgc:161973
780,zfand3
781,nkl.2
782,psma3
783,mcl1a
784,mcl1b
785,pbdc1
786,zgc:66426
787,si:ch211-196l7.4
788,cops7a
789,si:dkey-202c14.3
790,josd1
791,si:dkey-274m17.3
792,eif5a
793,CU550702.1
794,bbs7
795,elob
796,ndufb3
797,nudc
798,nudcd3
799,spc25
800,si:dkey-25e12.3
801,btf3
802,ttll1
803,ubtf
804,cdc14aa
805,rnf216
806,uchl3
807,taf13
808,polr2eb
809,iqub
810,tpgs2
811,si:ch211-71m22.1
812,srp54
813,SERP1
814,si:ch211-230g14.3
815,cops9
816,rab20
817,ndufa3
818,psma4
819,CU467110.2
820,prpf3
821,ndufb7
822,hexdc
823,zgc:66475
824,pih1d1
825,sdhc
826,rad21l1
827,uqcrfs1
828,cyp2p10
829,psmb8a
830,CABZ01081909.1
831,ube2s
832,tbca
833,nsmce1
834,zgc:158640
835,slirp
836,FP102309.1
837,rilpl2
838,nkx3-1
839,CR847571.1
840,tchp
841,fundc1
842,si:ch211-69b22.5
843,mff
844,romo1
845,sept7b
846,hint1
847,akt2l
848,ube2ib
849,pimr138
850,dgcr6
851,AL954359.2
852,ncln
853,cct7
854,dap1b
855,nabp1b
856,tekt4
857,psmb3
858,zfand6
859,nop10
860,psmc5
861,rag2
862,psma6a
863,pabpc1a
864,RNF5
865,rhoab
866,ywhaba
867,ap2m1a
868,si:dkey-46a10.3
869,khdrbs1a
870,gtf2h5
871,wbp2
872,snrpd1
873,si:ch211-235e9.6
874,pdhb
875,si:ch211-150o23.2
876,snrpd2
877,bub3
878,kif23
879,rbx1
880,si:dkey-267j14.7
881,actb1
882,ypel5
883,cadm3
884,fhdc3
885,si:ch211-122l24.6
886,CR936408.1
887,npm2a
888,dnajc12
889,ppih
890,ubl7b
891,KIF2A
892,zgc:101858
893,denr
894,si:dkey-250k15.4
895,si:ch211-214j24.10
896,ndc80
897,armh1
898,uros
899,ptp4a1
900,jhy
901,pafah1b1b
902,psma8
903,mak
904,atp5if1b
905,meaf6
906,dynlt1
907,wdr66
908,cycsb
909,trappc6b
910,CABZ01058261.1
911,soul4
912,chac2
913,mt-nd1
914,lsm1
915,selenok
916,ak8
917,cnot10
918,dcaf12
919,si:ch1073-82l19.1
920,otud5a
921,zgc:92335
922,parpbp
923,noxred1
924,snrpf
925,kdm1a
926,znf593
927,CABZ01118738.1
928,si:ch211-244o22.2
929,capslb
930,rpl5a
931,odf3l2a
932,ubald2
933,nitr9
934,psmc1a
935,nsfl1c
936,rpl5b
937,ddx42
938,eloca
939,olah
940,miip
941,flot1b
942,mknk2b
943,ada2a
944,si:ch211-272n13.3
945,polr2l
946,traf3ip1
947,armc4
948,snrpe
949,naa20
950,glrx3
951,fopnl
952,ranbp9
953,mkrn1
954,dnai1.2
955,si:ch211-209f23.7
956,ube2d2
957,COX7A2 (1 of many)
958,larp4ab
959,tmem107
960,fabp3
961,ppid
962,pigk
963,mycbpap
964,selenow1
965,atp5pb
966,si:dkey-148h10.5
967,smim29
968,tmem59
969,BX004768.1
970,si:ch211-194k22.8
971,ndufb5
972,cplane2
973,cdr2l
974,xpnpep1
975,ddx4
976,atp5f1e
977,mapkapk2a
978,wdr82
979,armc1l
980,birc5a
981,ppib
982,txnl4b
983,vrk1
984,lsm3
985,commd7
986,cers4a
987,nup37
988,supt16h
989,kpna2
990,stx6
991,ahsa1b
992,sept8a
993,ost4
994,stk17a
995,sugt1
996,ak7b
997,zgc:153293
998,ccdc96
999,si:dkeyp-75b4.10
1000,si:ch211-176l24.4
1001,ndufs5
1002,zgc:113208
1003,tada3l
1004,aspg
1005,atad1b
1006,morn2
1007,tmem107l
1008,atp5mf
1009,fip1l1a
1010,tmem176l.1
1011,tmem56b
1012,iqca1
1013,rab10
1014,aurka
1015,AL928866.1
1016,spint1a
1017,CR388156.1
1018,cdk20
1019,chordc1b
1020,b3gnt5b
1021,mapre1b
1022,ppp3r1b
1023,xrra1
1024,si:ch73-71c20.5
1025,micos13
1026,si:ch1073-314i13.4
1027,trir
1028,dmac2l
1029,fosl1b
1030,si:ch211-286b5.2
1031,gtf2f2a
1032,pfdn4
1033,lsm4
1034,gtf2a2
1035,si:dkey-1h6.8
1036,taf11
1037,psmg2
1038,hhla2a.1
1039,tmem141
1040,lrp2bp
1041,hdhd3
1042,dlgap5
1043,prdx1
1044,znf740b
1045,itm2ba
1046,sec61g
1047,ccnd3
1048,ndufs4
1049,hspa5
1050,ankar
1051,psmb2
1052,psmd7
1053,tmem11
1054,rpa2
1055,si:dkey-199f5.7
1056,arl13b
1057,lztfl1
1058,e2f5
1059,rpl22l1
1060,ptges3a
1061,psmb6
1062,sept8b
1063,ift74
1064,sec61b
1065,tbcb
1066,ndufs6
1067,echdc2
1068,pimr201
1069,sf3b5
1070,tpx2
1071,ewsr1b
1072,rell1
1073,tbpl1
1074,CR762480.1
1075,pole3
1076,flr
1077,srsf1b
1078,rad23b
1079,mrps21
1080,eif3f
1081,rchy1
1082,si:dkey-98f17.5
1083,atg13
1084,TSTD1
1085,oxr1a
1086,dnaja2a
1087,anapc11
1088,ipo7
1089,otub1a
1090,nutf2l
1091,tomm40l
1092,npc2
1093,lsm8
1094,thtpa
1095,pdcl
1096,srek1ip1
1097,sod2
1098,rnf169
1099,atp2b4
1100,pcna
1101,srsf3b
1102,rbm4.3
1103,axdnd1
1104,dnajc24
1105,commd4
1106,hsd17b10
1107,gstr
1108,fahd2a
1109,CABZ01078607.1
1110,aggf1
1111,pimr93
1112,jkamp
1113,dhdds
1114,dyrk3
1115,cahz
1116,ndufa12
1117,arrb2a
1118,rnf185
1119,zgc:92818
1120,rpe
1121,ift20
1122,si:dkey-77f5.4
1123,cdc42l
1124,BX005309.1
1125,psap
1126,si:ch211-277c7.7
1127,uri1
1128,fam83d
1129,dazl
1130,si:dkey-201i6.8
1131,rpl14
1132,gstp1
1133,ppp1cb
1134,bsdc1
1135,rab1ab
1136,ddx20
1137,si:dkey-188i13.11
1138,ccdc13
1139,si:ch211-162e15.3
1140,strap
1141,dcdc2b
1142,kpna1
1143,chmp4bb
1144,ift88
1145,mcu
1146,si:ch73-222h13.1
1147,npm2b
1148,UBL4A
1149,hddc2
1150,ywhabl
1151,si:ch211-276i12.9
1152,mccc1
1153,tdg.2
1154,acyp1
1155,bola1
1156,cep19
1157,psmd8
1158,psmd1
1159,rnaset2
